Item ID,Item Name,Category,Stock Quantity,Reorder Level,Unit Price,Supplier,Last Ordered Date,Next Restock Date,Warehouse Location,Stock Status,Stock Value,Month of Last Order,Total Value,,
ELE0026,Electronics Item 26,Category A,302,136,? 375.12,Supplier X,6/25/2023,12/23/2023,Warehouse A,Sufficient,"? 113,286.24",Jun-2023,113286.24,,
ELE0027,Electronics Item 27,Category A,108,178,? 476.77,Supplier Y,7/2/2023,12/30/2023,Warehouse C,Below Reorder,"? 51,491.16",Jul-2023,51491.16,,
ELE0028,Electronics Item 28,Category C,181,196,? 168.72,Supplier Y,7/9/2023,1/6/2024,Warehouse C,Below Reorder,"? 30,538.32",Jul-2023,30538.32,,
ELE0029,Electronics Item 29,Category C,369,175,? 278.62,Supplier Y,7/16/2023,1/13/2024,Warehouse A,Sufficient,"? 102,810.78",Jul-2023,102810.78,,
ELE0030,Electronics Item 30,Category C,223,179,? 288.28,Supplier X,7/23/2023,1/20/2024,Warehouse A,Sufficient,"? 64,286.44",Jul-2023,64286.44,,
ELE0031,Electronics Item 31,Category B,484,102,? 490.26,Supplier Y,7/30/2023,1/27/2024,Warehouse A,Sufficient,"? 237,285.84",Jul-2023,237285.84,,
ELE0032,Electronics Item 32,Category C,44,117,? 42.30,Supplier Y,8/6/2023,2/3/2024,Warehouse C,Below Reorder,"? 1,861.20",Aug-2023,1861.20,,
ELE0033,Electronics Item 33,Category B,458,172,? 156.32,Supplier X,8/13/2023,2/10/2024,Warehouse A,Sufficient,"? 71,594.56",Aug-2023,71594.56,,
ELE0034,Electronics Item 34,Category B,236,194,? 99.50,Supplier Z,8/20/2023,2/17/2024,Warehouse C,Sufficient,"? 23,482.00",Aug-2023,23482.00,,
ELE0035,Electronics Item 35,Category C,110,87,? 137.90,Supplier X,8/27/2023,2/24/2024,Warehouse B,Sufficient,"? 15,169.00",Aug-2023,15169.00,,
ELE0036,Electronics Item 36,Category B,440,73,? 245.21,Supplier Y,9/3/2023,3/2/2024,Warehouse C,Sufficient,"? 107,892.40",Sep-2023,107892.40,,
ELE0037,Electronics Item 37,Category C,471,118,? 189.48,Supplier Y,9/10/2023,3/9/2024,Warehouse C,Sufficient,"? 89,245.08",Sep-2023,89245.08,,
ELE0038,Electronics Item 38,Category C,140,165,? 200.37,Supplier X,9/17/2023,3/16/2024,Warehouse B,Below Reorder,"? 28,051.80",Sep-2023,28051.80,,
ELE0039,Electronics Item 39,Category A,266,147,? 422.89,Supplier Z,9/24/2023,3/23/2024,Warehouse C,Sufficient,"? 112,488.74",Sep-2023,112488.74,,
ELE0040,Electronics Item 40,Category C,14,188,? 465.36,Supplier Y,10/1/2023,3/30/2024,Warehouse A,Below Reorder,"? 6,515.04",Oct-2023,6515.04,,
ELE0041,Electronics Item 41,Category A,227,193,? 39.86,Supplier Y,10/8/2023,4/6/2024,Warehouse A,Sufficient,"? 9,048.22",Oct-2023,9048.22,,
ELE0042,Electronics Item 42,Category C,264,146,? 108.41,Supplier Y,10/15/2023,4/13/2024,Warehouse C,Sufficient,"? 28,620.24",Oct-2023,28620.24,,
ELE0043,Electronics Item 43,Category C,407,173,? 337.22,Supplier X,10/22/2023,4/20/2024,Warehouse A,Sufficient,"? 137,248.54",Oct-2023,137248.54,,
ELE0044,Electronics Item 44,Category A,368,119,? 182.53,Supplier Y,10/29/2023,4/27/2024,Warehouse C,Sufficient,"? 67,171.04",Oct-2023,67171.04,,
ELE0045,Electronics Item 45,Category A,292,142,? 130.81,Supplier Z,11/5/2023,5/4/2024,Warehouse A,Sufficient,"? 38,196.52",Nov-2023,38196.52,,
ELE0046,Electronics Item 46,Category C,402,52,? 151.17,Supplier Y,11/12/2023,5/11/2024,Warehouse A,Sufficient,"? 60,770.34",Nov-2023,60770.34,,
ELE0047,Electronics Item 47,Category B,216,197,? 164.66,Supplier Y,11/19/2023,5/18/2024,Warehouse C,Sufficient,"? 35,566.56",Nov-2023,35566.56,,
ELE0048,Electronics Item 48,Category A,24,196,? 425.09,Supplier Z,11/26/2023,5/25/2024,Warehouse A,Below Reorder,"? 10,202.16",Nov-2023,10202.16,,
ELE0049,Electronics Item 49,Category B,355,139,? 72.63,Supplier Y,12/3/2023,6/1/2024,Warehouse C,Sufficient,"? 25,783.65",Dec-2023,25783.65,,
ELE0050,Electronics Item 50,Category B,51,196,? 355.91,Supplier X,12/10/2023,6/8/2024,Warehouse A,Below Reorder,"? 18,151.41",Dec-2023,18151.41,,
ELE0051,Electronics Item 51,Category B,389,197,? 278.65,Supplier X,12/17/2023,6/15/2024,Warehouse A,Sufficient,"? 108,394.85",Dec-2023,108394.85,,
ELE0052,Electronics Item 52,Category A,470,145,? 151.77,Supplier X,12/24/2023,6/22/2024,Warehouse B,Sufficient,"? 71,331.90",Dec-2023,71331.90,,
ELE0053,Electronics Item 53,Category B,188,101,? 212.79,Supplier Z,12/31/2023,6/29/2024,Warehouse B,Sufficient,"? 40,004.52",Dec-2023,40004.52,,
ELE0054,Electronics Item 54,Category A,72,177,? 131.82,Supplier Y,1/7/2024,7/6/2024,Warehouse C,Below Reorder,"? 9,491.04",Jan-2024,9491.04,,
ELE0055,Electronics Item 55,Category B,361,88,? 307.70,Supplier X,1/14/2024,7/13/2024,Warehouse B,Sufficient,"? 111,079.70",Jan-2024,111079.70,,
ELE0056,Electronics Item 56,Category C,240,131,? 45.39,Supplier Z,1/21/2024,7/20/2024,Warehouse C,Sufficient,"? 10,893.60",Jan-2024,10893.60,,
ELE0057,Electronics Item 57,Category C,250,153,? 7.57,Supplier Y,1/28/2024,7/27/2024,Warehouse B,Sufficient,"? 1,892.50",Jan-2024,1892.50,,
ELE0058,Electronics Item 58,Category A,61,178,? 315.81,Supplier Z,2/4/2024,8/3/2024,Warehouse A,Below Reorder,"? 19,264.41",Feb-2024,19264.41,,
ELE0059,Electronics Item 59,Category C,105,60,? 101.17,Supplier X,2/11/2024,8/10/2024,Warehouse C,Sufficient,"? 10,622.85",Feb-2024,10622.85,,
ELE0060,Electronics Item 60,Category C,397,91,? 40.12,Supplier X,2/18/2024,8/17/2024,Warehouse C,Sufficient,"? 15,927.64",Feb-2024,15927.64,,
ELE0061,Electronics Item 61,Category B,231,148,? 201.41,Supplier X,2/25/2024,8/24/2024,Warehouse A,Sufficient,"? 46,525.71",Feb-2024,46525.71,,
ELE0062,Electronics Item 62,Category A,494,56,? 30.13,Supplier Z,3/3/2024,8/31/2024,Warehouse C,Sufficient,"? 14,884.22",Mar-2024,14884.22,,
ELE0063,Electronics Item 63,Category B,416,193,? 443.88,Supplier Z,3/10/2024,9/7/2024,Warehouse C,Sufficient,"? 184,654.08",Mar-2024,184654.08,,
ELE0064,Electronics Item 64,Category B,240,139,? 18.67,Supplier X,3/17/2024,9/14/2024,Warehouse B,Sufficient,"? 4,480.80",Mar-2024,4480.80,,
ELE0065,Electronics Item 65,Category B,246,161,? 291.54,Supplier Z,3/24/2024,9/21/2024,Warehouse C,Sufficient,"? 71,718.84",Mar-2024,71718.84,,
ELE0066,Electronics Item 66,Category B,152,109,? 222.04,Supplier X,3/31/2024,9/28/2024,Warehouse A,Sufficient,"? 33,750.08",Mar-2024,33750.08,,
ELE0067,Electronics Item 67,Category B,180,162,? 337.65,Supplier X,4/7/2024,10/5/2024,Warehouse B,Sufficient,"? 60,777.00",Apr-2024,60777.00,,
ELE0068,Electronics Item 68,Category B,38,51,? 167.44,Supplier Y,4/14/2024,10/12/2024,Warehouse B,Below Reorder,"? 6,362.72",Apr-2024,6362.72,,
ELE0069,Electronics Item 69,Category B,45,178,? 81.75,Supplier Z,4/21/2024,10/19/2024,Warehouse A,Below Reorder,"? 3,678.75",Apr-2024,3678.75,,
ELE0070,Electronics Item 70,Category A,22,97,? 491.01,Supplier X,4/28/2024,10/26/2024,Warehouse A,Below Reorder,"? 10,802.22",Apr-2024,10802.22,,
ELE0071,Electronics Item 71,Category C,169,189,? 420.27,Supplier X,5/5/2024,11/2/2024,Warehouse B,Below Reorder,"? 71,025.63",May-2024,71025.63,,
ELE0072,Electronics Item 72,Category B,336,86,? 430.90,Supplier Z,5/12/2024,11/9/2024,Warehouse C,Sufficient,"? 144,782.40",May-2024,144782.40,,
ELE0073,Electronics Item 73,Category B,196,58,? 128.87,Supplier Y,5/19/2024,11/16/2024,Warehouse B,Sufficient,"? 25,258.52",May-2024,25258.52,,
ELE0074,Electronics Item 74,Category B,252,148,? 24.22,Supplier Y,5/26/2024,11/23/2024,Warehouse A,Sufficient,"? 6,103.44",May-2024,6103.44,,
ELE0075,Electronics Item 75,Category B,95,196,? 155.12,Supplier X,6/2/2024,11/30/2024,Warehouse B,Below Reorder,"? 14,736.40",Jun-2024,14736.40,,
ELE0076,Electronics Item 76,Category B,293,97,? 270.86,Supplier Z,6/9/2024,12/7/2024,Warehouse A,Sufficient,"? 79,361.98",Jun-2024,79361.98,,
ELE0077,Electronics Item 77,Category B,75,180,? 166.69,Supplier Y,6/16/2024,12/14/2024,Warehouse B,Below Reorder,"? 12,501.75",Jun-2024,12501.75,,
ELE0078,Electronics Item 78,Category C,179,197,? 414.80,Supplier Z,6/23/2024,12/21/2024,Warehouse C,Below Reorder,"? 74,249.20",Jun-2024,74249.20,,
ELE0079,Electronics Item 79,Category C,54,103,? 139.41,Supplier Z,6/30/2024,12/28/2024,Warehouse B,Below Reorder,"? 7,528.14",Jun-2024,7528.14,,
ELE0080,Electronics Item 80,Category B,71,169,? 482.80,Supplier X,7/7/2024,1/4/2025,Warehouse B,Below Reorder,"? 34,278.80",Jul-2024,34278.80,,
ELE0081,Electronics Item 81,Category C,450,165,? 231.35,Supplier Y,7/14/2024,1/11/2025,Warehouse A,Sufficient,"? 104,107.50",Jul-2024,104107.50,,
ELE0082,Electronics Item 82,Category A,143,124,? 421.80,Supplier X,7/21/2024,1/18/2025,Warehouse A,Sufficient,"? 60,317.40",Jul-2024,60317.40,,
ELE0083,Electronics Item 83,Category B,293,162,? 101.22,Supplier Y,7/28/2024,1/25/2025,Warehouse A,Sufficient,"? 29,657.46",Jul-2024,29657.46,,
ELE0084,Electronics Item 84,Category A,37,153,? 208.62,Supplier Y,8/4/2024,2/1/2025,Warehouse B,Below Reorder,"? 7,718.94",Aug-2024,7718.94,,
ELE0085,Electronics Item 85,Category A,117,133,? 351.26,Supplier Y,8/11/2024,2/8/2025,Warehouse C,Below Reorder,"? 41,097.42",Aug-2024,41097.42,,
ELE0086,Electronics Item 86,Category B,53,161,? 73.48,Supplier Y,8/18/2024,2/15/2025,Warehouse A,Below Reorder,"? 3,894.44",Aug-2024,3894.44,,
ELE0087,Electronics Item 87,Category C,349,148,? 70.71,Supplier Y,8/25/2024,2/22/2025,Warehouse A,Sufficient,"? 24,677.79",Aug-2024,24677.79,,
ELE0088,Electronics Item 88,Category A,295,142,? 484.92,Supplier Z,9/1/2024,3/1/2025,Warehouse B,Sufficient,"? 143,051.40",Sep-2024,143051.40,,
ELE0089,Electronics Item 89,Category B,455,195,? 358.72,Supplier X,9/8/2024,3/8/2025,Warehouse A,Sufficient,"? 163,217.60",Sep-2024,163217.60,,
ELE0090,Electronics Item 90,Category A,340,177,? 25.33,Supplier Z,9/15/2024,3/15/2025,Warehouse C,Sufficient,"? 8,612.20",Sep-2024,8612.20,,
ELE0091,Electronics Item 91,Category A,137,159,? 202.42,Supplier Y,9/22/2024,3/22/2025,Warehouse C,Below Reorder,"? 27,731.54",Sep-2024,27731.54,,
ELE0092,Electronics Item 92,Category A,357,131,? 219.59,Supplier X,9/29/2024,3/29/2025,Warehouse A,Sufficient,"? 78,393.63",Sep-2024,78393.63,,
ELE0093,Electronics Item 93,Category A,482,103,? 373.30,Supplier Y,10/6/2024,4/5/2025,Warehouse A,Sufficient,"? 179,930.60",Oct-2024,179930.60,,
ELE0094,Electronics Item 94,Category C,240,117,? 129.18,Supplier X,10/13/2024,4/12/2025,Warehouse B,Sufficient,"? 31,003.20",Oct-2024,31003.20,,
ELE0095,Electronics Item 95,Category A,199,82,? 96.25,Supplier Z,10/20/2024,4/19/2025,Warehouse C,Sufficient,"? 19,153.75",Oct-2024,19153.75,,
ELE0096,Electronics Item 96,Category A,234,191,? 45.03,Supplier X,10/27/2024,4/26/2025,Warehouse C,Sufficient,"? 10,537.02",Oct-2024,10537.02,,
ELE0097,Electronics Item 97,Category A,394,70,? 217.02,Supplier X,11/3/2024,5/3/2025,Warehouse A,Sufficient,"? 85,505.88",Nov-2024,85505.88,,
ELE0098,Electronics Item 98,Category C,386,97,? 345.81,Supplier X,11/10/2024,5/10/2025,Warehouse B,Sufficient,"? 133,482.66",Nov-2024,133482.66,,
ELE0099,Electronics Item 99,Category A,292,197,? 33.81,Supplier X,11/17/2024,5/17/2025,Warehouse C,Sufficient,"? 9,872.52",Nov-2024,9872.52,,
ELE0100,Electronics Item 100,Category A,455,177,? 458.03,Supplier X,11/24/2024,5/24/2025,Warehouse C,Sufficient,"? 208,403.65",Nov-2024,208403.65,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
